Year,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SE.PRM.UNER.FE,SE.PRM.UNER.MA,SE.SCH.LIFE.FE,SE.SCH.LIFE.MA,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SG.IHT.ASST.EQ,SG.LAW.EQRM.WK,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.HIV.ARTC.FE.ZS,SH.HIV.ARTC.MA.ZS,SH.HIV.INCD.FE.P3,SH.HIV.INCD.MA.P3,SH.HIV.INCD.YG.FE.P3,SH.HIV.INCD.YG.MA.P3,SH.STA.OB18.FE.ZS,SH.STA.OB18.MA.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.MA.ZS,SL.EMP.1524.SP.FE.ZS,SL.EMP.1524.SP.MA.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.EMP.OWAC.FE.ZS,SL.EMP.OWAC.MA.ZS,SL.EMP.SELF.FE.ZS,SL.EMP.SELF.MA.ZS,SL.EMP.TOTL.SP.FE.ZS,SL.EMP.TOTL.SP.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SL.FAM.WORK.FE.ZS,SL.FAM.WORK.MA.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.MA.ZS,SL.SRV.EMPL.FE.ZS,SL.SRV.EMPL.MA.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.PART.FE.ZS,SL.TLF.PART.MA.ZS,SL.TLF.TOTL.FE.IN,SL.TLF.TOTL.FE.ZS,SL.UEM.1524.FE.ZS,SL.UEM.1524.FM.NE.ZS,SL.UEM.1524.FM.ZS,SL.UEM.1524.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.AG00.FE.IN,SP.POP.AG00.MA.IN,SP.POP.AG01.FE.IN,SP.POP.AG01.MA.IN,SP.POP.AG02.FE.IN,SP.POP.AG02.MA.IN,SP.POP.AG03.FE.IN,SP.POP.AG03.MA.IN,SP.POP.AG04.FE.IN,SP.POP.AG04.MA.IN,SP.POP.AG05.FE.IN,SP.POP.AG05.MA.IN,SG.GET.JOBS.EQ,SG.DNG.WORK.DN.EQ,SG.IND.WORK.EQ,SL.TLF.ADVN.MA.ZS,SL.TLF.ADVN.FE.ZS,SL.TLF.BASC.FE.ZS,SL.TLF.BASC.MA.ZS,SL.TLF.INTM.FE.ZS,SL.TLF.INTM.MA.ZS,SL.TLF.TOTL.MA.IN,SL.TLF.TOTL.FE.IN,SG.LAW.NODC.HR,SG.LAW.INDX,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.FE.ZS,HD.HCI.OVRL.FE,HD.HCI.OVRL.MA,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SP.DYN.AMRT.FE,SH.DYN.AIDS.FE.ZS,SP.DYN.SMAM.FE,SP.DYN.SMAM.MA,SG.LAW.OBHB.MR.NO,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.FE.IN,SP.POP.1564.MA.IN,HD.HCI.HLOS.MA,HD.HCI.HLOS.FE,SG.DMK.ALLD.FE.ZS,SG.DMK.ALLD.MA.ZS
2001,24.88203049,24.03112984,94.16745758,93.35778046,48.62186,108.4551926,111.0059814,107.9781,113.91842,91.27721,92.58825,6.15778,6.17471,52.2375412,95.43455,96.84744,587215,418627,10.43492,10.8336,48.7841,49.61616,43.23652,55.01868057,56.04655075,49.27326,49.89734,79.19007,77.55149,40.14101028,12.31566048,16.0033493,0,0,0.1,0.1,0,0,0.07,0.28,0.12,0.42,4,1.5,44.52000046,43.33000183,32.37599945,50.50799942,1.070000052,4.230000019,29.92099953,48.48199844,69.62999725,60.79000092,46.25999832,80.01399994,68.55000114,56.56000042,30.37000084,39.20999908,38.72000122,8.109999657,16.12000084,20.26000023,39.36000061,36.40000153,49.94499969,84.4960022,47.15000153,25.09000015,36915850,37.3952942,20.61700058,112.1628768,119.3473193,17.4470005,7.376999855,5.304999828,167.488,215.356,67.51,64.554,70.9482826,64.3274384,2072857,2146148,2104143,2174032,2116690,2187324,2127032,2198491,2135417,2207710,2142090,2215158,1,0,0,90.88999939,64.91999817,48.83000183,84.37000275,44.58000183,81.94000244,62674086,37436794,0,50,92.34989166,85.5,0.459929575,0.433885933,3.7,4.6,0.359646164,0.61,168.9415,17.15,23.4,27,1,70.661428,64.008986,69260465.5,69631713,380.0388367,402.135946,10.32777778,31.3
2002,24.72670937,24.09293938,95.38433838,94.73410034,48.62113,108.6988525,111.1030273,111.70473,117.54551,90.86566,91.77368,5.1141,5.50376,52.03871155,95.02285,95.87668,643984,551569,10.61418,10.90142,48.98272,49.90974,42.98695,56.80012131,57.51300049,50.48961,51.10473,83.0655,80.48075,39.71670151,13.75590992,15.82686043,0,0,0.1,0.1,0,0,0.1,0.46,0.18,0.69,4.3,1.6,45.40000153,43.75,31.14500046,48.38100052,1.080000043,4.139999866,32.17699814,49.51399994,69.51999664,60.68999863,44.24300003,79.1760025,68.45000076,56.55000019,30.47999954,39.31000137,36.33000183,7.050000191,15.77999973,20.43000031,38.81999969,35.81999969,48.00799942,84.12599945,47.31000137,26.90999985,35912900,36.55572631,23.07699966,114.3800094,118.1256437,19.70499992,7.842000008,5.883999825,167.236,216.941,67.864,64.771,71.278228,64.486552,2083097,2168329,2105756,2186019,2134740,2208652,2145925,2220207,2154741,2229744,2161446,2237373,1,0,0,93.08000183,77.05999756,44.25,82.22000122,49.34000015,85.88999939,63449632,36558661,0,50,92.91162109,86,0.465558977,0.439330563,3.9,4.683750242,0.361922162,0.62634182,167.236,19,22,25.6,1,71.278228,64.486552,70340395,70792759,381.1118805,402.5239508,10.71111111,31.4
2003,26.4907093,24.9911499,95.6805191,95.63865662,48.67859,108.5317307,110.4871063,113.08823,112.64874,89.80657,91.44727,3.76843,3.77519,54.0809288,94.16388,95.71202,760439,578626,10.80105,11.14233,48.97066,49.84946,43.20637,59.73616028,60.53910065,53.1074,53.81393,83.72159,83.73062,40.93730164,14.20265007,17.78834915,0,0,0.1,0.2,0,0,0.15,0.49,0.26,0.73,4.5,1.7,47.54000092,45.72999954,30.24699974,47.79100037,1.039999962,3.910000086,28.3390007,50.04800034,70.91000366,62.43000031,43.83000183,78.91500092,69.88000107,58.53000164,29.09000015,37.56999969,41.54000092,8.470000267,15.15999985,19.12999916,37.29999924,35.13999939,47.80199814,83.69400024,48.11999893,26.94000053,36413288,36.55416776,23.28100014,113.2696897,118.2511439,19.73900032,8.309000015,5.710000038,165.531,217.176,68.249,65.011,71.895028,64.964118,2099572,2198875,2123591,2213897,2143221,2226816,2164117,2242093,2173934,2251903,2181218,2259805,1,1,1,89.79000092,63.90000153,46.77999878,83.62000275,42.95999908,81.13999939,64143118,36956007,1,59.375,93.47335052,86.5,0.471188378,0.444775192,4,4.984043066,0.364198161,0.633303664,165.531,20.3,22.1,25.9,1,71.895028,64.964118,71404235,71921499,382.1849243,402.9119556,11.13333333,31.3
2004,28.18951988,25.89134979,96.35920715,94.85883331,48.72238,108.1403503,109.6995697,107.08983,111.57071,88.88332,90.56007,2.89004,2.88632,52.2968483,93.37879,94.99409,869358,681910,10.91155,11.22403,49.07068,49.96591,43.30638,61.60736084,62.11970901,54.67966,55.10898,78.38926,78.78642,39.85528183,14.66366959,18.49554062,0,0,0.1,0.2,0,0,0.18,0.47,0.32,0.71,4.8,1.9,44.61999893,42.63000107,29.71299934,47.98799896,1.090000033,4.289999962,30.41500092,49.08300018,70.04000092,60.88000107,42.85800171,79.03199768,68.94000053,56.60000181,29.96999931,39.11999893,38.56999969,7.519999981,14.21000004,20.06999969,41.16999817,37.31000137,47.18999863,84.29199982,45.43999863,25.02000046,36535073,36.06707956,26.44499969,122.5547119,125.4036087,21.14299965,9.180000305,6.239999771,163.825,217.412,68.665,65.28,72.511828,65.441684,2116852,2229072,2141632,2242039,2162103,2253661,2178620,2263932,2192363,2274597,2200806,2282660,1,1,1,90.63999939,64.58999634,45.68999863,83.81999969,42.93000031,82.54000092,65624837,37021474,1,61.875,94.03507996,87,0.47681778,0.450219821,4.3,5.284335889,0.366474159,0.640265508,163.825,22.2,22.75,26.45,1,72.511828,65.441684,72475566,73067413,383.2579681,403.2999603,11.4,32
2005,32.06129074,31.03540039,95.08203888,93.49546051,48.26,106.2415237,109.6046829,109.98928,114.23815,87.51888,90.28935,3.19399,4.91302,61.02204895,91.87563,94.57581,1075765,746392,10.89081,11.17248,48.96249,49.98712,42.4147,59.83853149,60.46035004,53.12387,53.66057,88.95904,88.29418,43.46414948,15.55041981,18.30414009,0,0,0.1,0.2,0,0,0.21,0.49,0.38,0.73,5.1,2.1,44.38000107,43.79000092,26.68899918,43.79000092,1.200000048,4.019999981,27.75900078,47.60900116,66.40000153,59.34000015,41.4129982,77.27600098,65.21000099,55.31999969,33.59999847,40.65999985,37.36000061,7.659999847,15.90999985,20.29000092,39.70999908,35.91999817,46.0340004,82.88400269,45.97999954,26.10000038,36221497,35.85535187,29.97100067,125.3467844,129.7016861,23.27199936,10.03999996,6.765999794,162.12,217.647,69.107,65.579,73.128628,65.91925,2131472,2253002,2157162,2266292,2178547,2278383,2195919,2289176,2209567,2298576,2219780,2306482,1,1,1,92.66999817,80.30999756,42.22999954,81.23999786,48.79000092,85.05999756,65545596,36638550,1,64.375,94.59680939,87.89348984,0.482447181,0.45566445,4.5,5.584628712,0.368750157,0.647227352,162.12,24,23.4,27,1,73.128628,65.91925,73564094,74243591,384.331012,403.6879651,11.9,31.5
2006,35.27236176,34.08298111,93.03598022,92.10516357,48.23694,104.6002121,107.8715286,110.53224,114.59352,90.35039,93.17688,2.86538,4.45581,59.0002594,93.20646,95.93748,907992,564999,10.87007,11.12093,49.33718,50.47041,41.94152,62.89228058,62.3982811,57.81846,57.34547,98.2755,99.58965,44.00025177,16.43717003,18.11273956,0,0,0.1,0.3,2,2,0.23,0.5,0.42,0.75,5.4,2.2,41.13000107,42.56999969,28.79199982,44.82099915,1.149999976,3.980000019,30.55599976,47.13800049,65.81999969,58.81000137,41.69599915,77.1190033,64.67000008,54.83000088,34.18999863,41.18999863,34.13999939,7.699999809,15.35999966,20.32999992,43.52000046,37.09999847,45.95999908,82.55200195,44.91999817,26.62000084,36870048,35.87952388,26.86100006,120.2994276,119.662672,22.52599907,9.279000282,6.581999779,160.414,217.883,69.565,65.899,73.745428,66.396816,2144069,2270507,2162547,2288023,2183976,2299592,2201438,2309421,2215116,2317395,2225196,2323397,1,1,1,91.69000244,77.86000061,42.47999954,80.91000366,48.18000031,84.81999969,66541502,37234616,1,64.375,95.15853882,88.78697968,0.488076583,0.461109079,4.789094434,5.884921535,0.371026156,0.654189196,160.414,25.7,22.85,26.95,1,73.745428,66.396816,74823375,75633817,385.4040558,404.0759698,12.4,31
2007,41.86487961,39.94472885,95.91323853,97.34883881,48.0562,107.2391663,111.2899323,113.21913,117.87028,91.99975,95.55935,2.65043,3.95185,57.5802803,95.18329,98.65955,643154,186422,11.55853,11.7867,49.35088,50.51358,41.45254,70.7596283,70.32910919,65.05054,64.63926,94.95003,88.3302,48.89279175,17.65497017,17.93322945,0,0,0.1,0.3,3,3,0.25,0.47,0.45,0.73,5.7,2.4,41.40000153,41.18000031,30.17700005,47.93099976,1.379999995,3.75999999,32.35300064,46.62400055,67.33000183,58.20999908,44.85900116,76.98400116,65.95000076,54.44999886,32.66999817,41.79000092,33.61999893,7.829999924,15.02999973,21.01000023,43.56999969,37.81000137,49.79100037,82.73100281,43.81000137,26.29999924,40793685,37.6595526,25.14699936,121.0627094,120.257388,20.96699905,9.904000282,6.946000099,158.709,218.119,70.025,66.228,74.362228,66.874382,2152427,2280286,2183225,2304977,2192879,2322605,2210038,2332449,2223566,2340012,2233543,2345161,1,1,1,87.52999878,73.23000336,47.45000076,82.01000214,48.04000092,82.51000214,67884696,41008649,1,64.375,95.27086258,88.94418335,0.493705985,0.466553708,5.156152671,6.185214358,0.375513078,0.66115104,158.709,27.2,22.3,26.9,1,74.362228,66.874382,76023371,76963052,386.4770996,404.4639746,12.8,31.6
2008,44.15296173,42.81192017,96.36197662,97.00982666,48.44783,106.779213,108.8218002,113.55797,112.24142,92.23255,93.99772,2.19344,3.58357,60.05562973,95.19553,96.95193,643027,425944,11.55059,11.7976,49.00961,50.36809,41.28418,69.37525177,69.92845154,63.80221,64.24349,92.84102,91.30564,47.24650955,19.70265007,21.62463951,0,0,0.2,0.3,4,3,0.25,0.44,0.47,0.68,6,2.6,41.36000061,40.93999863,30.72999954,48.64300156,1.360000014,3.869999886,32.15200043,46.50400162,67.26999664,57.93999863,46.25400162,76.95400238,65.90999985,54.0800004,32.72999954,42.06000137,32.79999924,7.96999979,14.57999992,20.75,44.06000137,38.31000137,50.33300018,82.4469986,42.11000061,26.70999908,42089981,37.96629475,21.18000031,116.2765378,115.2505447,18.41799927,8.104000092,6.663000107,157.437,216.474,70.474,66.554,74.9308286,67.3361226,2163472,2289610,2195126,2320501,2221506,2346407,2222617,2356398,2235499,2364512,2245090,2369806,1,1,1,91.66999817,76.58000183,47.36999893,80.59999847,53.15999985,86.27999878,68788482,42100855,1,64.375,95.38318634,89.10138702,0.499335386,0.471998338,5.523210907,6.485507181,0.38,0.668112884,157.437,28.7,22,26.5,1,74.9308286,67.3361226,77183071,78234083,387.5501434,404.8519794,12.3,31.2
2009,46.80881119,44.25600052,99.37239838,97.76071167,48.26759,107.2996521,109.7416687,110.71836,112.09505,92.68116,94.79157,2.71614,4.33093,61.55173111,95.77599,97.8499,568157,303066,12.01742,12.25607,49.00622,50.50236,41.06811,74.37735748,74.86978149,64.28802,65.22731,93.97056333,93.0854,47.55667114,22.34469986,23.63021088,0,0,0.2,0.3,5,4,0.26,0.43,0.48,0.68,6.3,2.8,39.93999863,40.77000046,30.57799911,47.02899933,1.289999962,3.819999933,32.50400162,45.89599991,66.80000305,57.93999863,46.88199997,77.17199707,65.51999664,54.11999893,33.20000076,42.06000137,33.09999847,8.25,14.42000008,20.63999939,45.65000153,38.59999847,50.25099945,81.875,41.41999817,26.79999924,42832518,38.07143827,20.6060009,115.9819921,114.9270483,17.98999977,6.704999924,5.743999958,156.165,214.829,70.905,66.872,75.4994292,67.7978632,2186851,2309011,2213547,2339835,2236065,2365643,2254456,2386470,2251846,2388908,2260450,2395289,1,1,1,89.06999969,70.61000061,48.20999908,79.79000092,50.86000061,85.19000244,69384230,42655110,1,64.375,95.6470108,89.67711639,0.504964788,0.477442967,5.890269143,6.785800004,0.39,0.675074728,156.165,30,22.2,26.1,1,75.4994292,67.7978632,78322237,79453122,388.6231873,405.2399841,11.7,30.6
2010,42.39365005,40.54486084,101.1212997,99.05918376,49.52885,110.952179,107.4381409,115.15658,111.80126,94.47534,93.99594,2.71795,3.88661,62.46611023,97.57204,96.95146,328856,434529,12.37477,12.29712,49.25902,50.80133,41.51885,76.67198944,76.18920135,66.52676,66.76686,95.10010667,94.86516,47.97129822,22.47407913,25.67770958,0,0,0.2,0.3,5,5,0.26,0.42,0.49,0.67,6.6,3.1,38.40000153,39.56999969,30.7310009,46.61700058,1.340000033,3.869999886,30.69799995,44.85599899,65.55999756,56.95000076,47.67100143,78.03700256,64.22000122,53.09000015,34.43999863,43.04999924,33.58000183,8.25,14.94999981,20.90999985,46.65000153,39.52000046,50.92300034,82.25499725,42.54999924,26.70000076,44113792,38.26431151,18.86100006,112.4253286,111.9474313,16.93600082,6.388000011,5.127999783,154.894,213.184,71.311,67.182,76.0680298,68.2596038,2228383,2345222,2242191,2366476,2254581,2384790,2265314,2399974,2274151,2411836,2280853,2420186,1,1,1,91.29000092,76.98000336,47.90000153,79.06999969,52.97999954,85.87999725,70746465,43849437,1,64.375,95.61904907,89.87290955,0.510594189,0.482887596,6.257327379,7.149606832,0.400440007,0.683509051,154.894,31.1,22.3,25.7,1,76.0680298,68.2596038,79466652,80650298,389.9231873,405.6399841,11,30.5
