Year,emp_rate_f,emp_rate_m,informal_emp_f,formal_emp_f,primary_edu_f,primary_edu_m,secondary_edu_f,secondary_edu_m,tertiary_edu_f,tertiary_edu_m,bachelor_edu_f,bachelor_edu_m,master_edu_f,master_edu_m,basic_edu_emp_f,interm_edu_emp_f,advance_edu_emp_f,literacy_rate_f,literacy_rate_m,life_expect_f,life_expect_m,HCI_f,HCI_m,HTS_f,HTS_m,age_marriage_f,age_marriage_m,decision_maker_f,decision_maker_m,survival_f,survival_m,population_f,population_f,mortality_rate_f,HIV_f
2002,44.24300003,79.1760025,69.51999664,30.47999954,90.86566,91.77368,50.48961,51.10473,13.75590992,15.82686043,3.9,4.683750242,0.361922162,0.62634182,44.25,49.34000015,77.05999756,86.0,92.91162109,67.864,64.771,0.465558977,0.439330563,402.5239508,381.1118805,22.0,25.6,10.71111111,31.4,71.278228,64.486552,70340395.0,70792759,167.236,19.0
2003,43.83000183,78.91500092,70.91000366,29.09000015,89.80657,91.44727,53.1074,53.81393,14.20265007,17.78834915,4.0,4.984043066,0.364198161,0.633303664,46.77999878,42.95999908,63.90000153,86.5,93.47335052,68.249,65.011,0.471188378,0.444775192,402.9119556,382.1849243,22.1,25.9,11.13333333,31.3,71.895028,64.964118,71404235.0,71921499,165.531,20.3
2004,42.85800171,79.03199768,70.04000092,29.96999931,88.88332,90.56007,54.67966,55.10898,14.66366959,18.49554062,4.3,5.284335889,0.366474159,0.640265508,45.68999863,42.93000031,64.58999634,87.0,94.03507996,68.665,65.28,0.47681778,0.450219821,403.2999603,383.2579681,22.75,26.45,11.4,32.0,72.511828,65.441684,72475566.0,73067413,163.825,22.2
2005,41.4129982,77.27600098,66.40000153,33.59999847,87.51888,90.28935,53.12387,53.66057,15.55041981,18.30414009,4.5,5.584628712,0.368750157,0.647227352,42.22999954,48.79000092,80.30999756,87.89348984,94.59680939,69.107,65.579,0.482447181,0.45566445,403.6879651,384.331012,23.4,27.0,11.9,31.5,73.128628,65.91925,73564094.0,74243591,162.12,24.0
2006,41.69599915,77.1190033,65.81999969,34.18999863,90.35039,93.17688,57.81846,57.34547,16.43717003,18.11273956,4.789094434,5.884921535,0.371026156,0.654189196,42.47999954,48.18000031,77.86000061,88.78697968,95.15853882,69.565,65.899,0.488076583,0.461109079,404.0759698,385.4040558,22.85,26.95,12.4,31.0,73.745428,66.396816,74823375.0,75633817,160.414,25.7
2007,44.85900116,76.98400116,67.33000183,32.66999817,91.99975,95.55935,65.05054,64.63926,17.65497017,17.93322945,5.156152671,6.185214358,0.375513078,0.66115104,47.45000076,48.04000092,73.23000336,88.94418335,95.27086258,70.025,66.228,0.493705985,0.466553708,404.4639746,386.4770996,22.3,26.9,12.8,31.6,74.362228,66.874382,76023371.0,76963052,158.709,27.2
2008,46.25400162,76.95400238,67.26999664,32.72999954,92.23255,93.99772,63.80221,64.24349,19.70265007,21.62463951,5.523210907,6.485507181,0.38,0.668112884,47.36999893,53.15999985,76.58000183,89.10138702,95.38318634,70.474,66.554,0.499335386,0.471998338,404.8519794,387.5501434,22.0,26.5,12.3,31.2,74.9308286,67.3361226,77183071.0,78234083,157.437,28.7
2009,46.88199997,77.17199707,66.80000305,33.20000076,92.68116,94.79157,64.28802,65.22731,22.34469986,23.63021088,5.890269143,6.785800004,0.39,0.675074728,48.20999908,50.86000061,70.61000061,89.67711639,95.6470108,70.905,66.872,0.504964788,0.477442967,405.2399841,388.6231873,22.2,26.1,11.7,30.6,75.4994292,67.7978632,78322237.0,79453122,156.165,30.0
2010,47.67100143,78.03700256,65.55999756,34.43999863,94.47534,93.99594,66.52676,66.76686,22.47407913,25.67770958,6.257327379,7.149606832,0.400440007,0.683509051,47.90000153,52.97999954,76.98000336,89.87290955,95.61904907,71.311,67.182,0.510594189,0.482887596,405.6399841,389.9231873,22.3,25.7,11.0,30.5,76.0680298,68.2596038,79466652.0,80650298,154.894,31.1
2011,48.10300064,78.83499908,63.65999985,36.34000015,95.58735,91.98809,73.10344,72.74204,24.21068001,28.40163994,6.624385616,7.31102869,0.348459989,0.687251377,47.25999832,52.22000122,78.81999969,90.0687027,95.59108734,71.69,67.485,0.516223591,0.488332225,406.0,390.5,22.05,25.9,10.0,30.1,76.6366304,68.7213444,80777640.0,82057022,153.622,32.0
2012,48.98300171,79.83399963,61.43000031,38.56999969,93.29728,92.43378,75.29503,73.1072,31.01600075,29.84557915,7.0,7.646850378,0.387320012,0.695036905,46.29000092,53.11999893,82.01000214,91.19610087,95.99106089,72.047,67.784,0.521852992,0.493776854,406.4,391.7,21.8,26.4,9.066666667,29.7,77.205231,69.183085,82059240.0,83428694,152.351,32.9
2013,48.50999832,79.21800232,60.38000107,39.61999893,90.99734,90.17779,74.33205,76.34101,32.72562027,29.42856026,7.4,8.038642347,0.426895007,0.704120022,45.43000031,52.08000183,80.16999817,92.32349904,96.39103444,72.383,68.081,0.527482394,0.499221483,406.8,393.1,22.0,26.3,9.2,29.9,77.6356866,69.579878,83338372.0,84792196,150.122,33.7
2014,48.63499832,79.20800018,60.36000061,39.63999939,89.41192,90.55565,74.88044,75.52886,32.65576172,29.18028069,7.675169945,8.263110161,0.400440007,0.731429994,45.02000046,51.75999832,80.22000122,93.45089722,96.791008,72.698,68.371,0.533111795,0.504666113,407.2,394.6,22.3,26.6,9.4,30.3,78.0661422,69.976671,84643213.0,86174155,147.893,34.5
