Title,Category,Qualification
Google Cloud Program Manager,Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '3', 'year', 'experience', 'program', 'project', 'management', 'cloud', 'computing', 'enterprise', 'software', 'marketing', 'technology', 'experience', 'business', 'technology', 'market', 'program', 'manager', 'saas', 'cloud', 'computing', 'emerging', 'technology', 'significant', 'crossfunctional', 'experience', 'across', 'engineering', 'sale', 'marketing', 'team', 'cloud', 'computing', 'related', 'technical', 'field', 'proven', 'successful', 'program', 'outcome', 'idea', 'launch', 'multiple', 'context', 'throughout', 'career', 'ability', 'manage', 'expectation', 'demand', 'priority', 'multiple', 'internal', 'stakeholder', 'based', 'overarching', 'vision', 'success', 'global', 'team', 'health', 'ability', 'work', 'pressure', 'posse', 'flexibility', 'changing', 'need', 'direction', 'rapidlygrowing', 'organization', 'strong', 'organization', 'communication', 'skill']"
"Supplier Development Engineer (SDE), Cable/Connector",Manufacturing & Supply Chain,"['bachelor', 'science', 'degree', 'engineering', 'discipline', 'equivalent', 'practical', 'experience', '7', 'year', 'experience', 'cableconnector', 'design', 'manufacturing', 'npi', 'role', 'experience', 'working', 'interconnect', 'engineering', 'product', 'design', 'pdmechanical', 'engineer', 'developing', 'manufacturing', 'testing', 'ability', 'speak', 'write', 'english', 'mandarin', 'fluently', 'idiomatically', 'bachelor', 'scienceee', 'bachelor', 'scienceme', 'bachelor', 'scienceie', 'degree', 'experience', 'using', 'statistic', 'tool', 'data', 'analysis', 'eg', 'distribution', 'histogrampareto', 'chart', 'process', 'control', 'chart', 'design', 'experiment', 'doe', 'correlation', 'analysis', 'etc', 'demonstrated', 'knowledge', 'pcbachelor', 'art', 'manufacturing', 'process', 'quality', 'control', 'familar', 'cableconnector', 'related', 'component', 'manufacturing', 'moldling', 'stamping', 'diecasting', 'lim', 'mim', 'process', 'material', 'self', 'starter', 'innovation', 'integrity', 'attention', 'detail', 'ability', 'travel', '50', 'time']"
"Data Analyst, Product and Tools Operations, Google Technical Services",Technical Solutions,"['bachelor', 'degree', 'business', 'economics', 'statistic', 'operation', 'research', 'related', 'analytical', 'field', 'equivalent', 'practical', 'experience', '2', 'year', 'work', 'experience', 'business', 'analysis', '1', 'year', 'experience', 'statistical', 'modeling', 'forecasting', 'machine', 'learning', 'experience', 'r', 'sa', 'python', '1', 'year', 'experience', 'developing', 'manipulating', 'large', 'datasets', 'experience', 'partnering', 'consulting', 'crossfunctionally', 'senior', 'stakeholder', 'proficiency', 'database', 'query', 'language', 'eg', 'sql', 'ability', 'manage', 'multiple', 'project', 'ambiguous', 'environment', 'strong', 'presentation', 'communication', 'skill', 'ability', 'communicate', 'statistical', 'concept', 'explain', 'recommendation', 'nonexperts']"
"Developer Advocate, Partner Engineering",Developer Relations,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'equivalent', 'practical', 'experience', 'experience', 'working', 'directly', 'partner', 'programming', 'experience', 'one', 'following', 'languagesplatforms', 'android', 'java', 'kotlin', 'io', 'javascript', 'experience', 'software', 'developer', 'architect', 'technology', 'advocate', 'cto', 'consultant', 'working', 'web', 'mobile', 'technology', 'experience', 'working', 'third', 'party', 'experience', 'interacting', 'client', 'internal', 'stakeholder', 'knowledge', 'web', 'application', 'mobile', 'application', 'development', 'landscape']"
"Program Manager, Audio Visual (AV) Deployments",Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '4', 'year', 'experience', 'managing', 'large', 'scale', 'global', 'av', 'deployment', 'experience', 'managing', 'vendor', 'deliver', 'defined', 'project', 'experience', 'audiovisual', 'video', 'conferencing', 'design', 'system', 'integration', 'resolution', 'ct', 'certification', 'experience', 'construction', 'sector', 'experience', 'project', 'management', 'software', 'reporting', 'tool', 'ability', 'understand', 'technical', 'subject', 'emerging', 'technology', 'relevance', 'marketplace', 'business', 'management', 'consulting', 'skill', 'excellent', 'interpersonal', 'relationship', 'building', 'skill', 'across', 'multiple', 'stakeholder', 'varying', 'level']"
"Associate Account Strategist (Czech/Slovak), Global Customer Experience",Technical Solutions,"['bachelor', 'degree', 'equivalent', 'practical', 'experience', 'ability', 'speak', 'write', 'english', 'czech', 'slovak', 'fluently', 'idiomatically', 'experience', 'sale', 'customer', 'service', 'account', 'management', 'marketing', 'consulting', 'experience', 'managing', 'customizing', 'experience', 'specific', 'customer', 'base', 'experience', 'leading', 'motivating', 'working', 'effectively', 'within', 'team', 'demonstrated', 'ability', 'multitask', 'manage', 'multiple', 'project', 'working', 'fastpaced', 'environment', 'ability', 'work', 'towards', 'strategic', 'goal', 'effective', 'organizational', 'skill', 'ability', 'work', 'independently', 'proactively']"
"Supplier Development Engineer, Camera, Consumer Hardware",Hardware Engineering,"['bachelor', 'science', 'degree', 'engineering', 'equivalent', 'practical', 'experience', '10', 'year', 'experience', 'design', 'manufacturing', 'new', 'product', 'introduction', 'npi', 'role', 'experience', 'camera', 'manufacturing', 'master', 'degree', 'experience', 'development', 'camera', 'module', 'integration', 'process', 'related', 'industry', 'experience', 'managing', 'functional', 'engineering', 'team', 'experience', 'project', 'management', 'including', 'data', 'handling', 'documentation', 'critical', 'decision', 'making', 'organization', 'skill', 'knowledge', 'quality', 'statistical', 'tool', 'method', 'selfstarter', 'innovation', 'integrity', 'attention', 'detail']"
"Strategic Technology Partner Manager, Healthcare and Life Sciences",Partnerships,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'partner', 'management', 'business', 'development', 'experience', 'working', 'public', 'cloud', 'solution', 'across', 'softwareasaservice', 'saas', 'platformasaservice', 'paas', 'infrastructureasaservice', 'iaa', 'market', 'experience', 'working', 'technology', 'solution', 'healthcare', 'industry', 'experience', 'within', 'internal', 'customerfacing', 'role', 'bachelor', 'art', 'science', 'degree', 'technical', 'life', 'science', 'engineering', 'field', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'working', 'variety', 'technology', 'system', 'designing', 'solution', 'developing', 'application', 'healthcare', 'life', 'science', '8', 'year', 'experience', 'partnership', 'management', 'strategybusiness', 'development', 'background', 'software', 'engineering', 'product', 'management', 'experience', 'managing', 'growing', 'relationship', 'crossfunctional', 'team', 'internally', 'externally', 'demonstrated', 'ability', 'plan', 'manage', 'strategic', 'operational', 'level', 'launch', 'new', 'product', 'marketplace']"
"Manufacturing Business Manager, Google Hardware",Manufacturing & Supply Chain,"['bachelor', 'art', 'science', 'degree', 'engineering', 'supply', 'chain', 'equivalent', 'practical', 'experience', '5', 'year', 'related', 'contract', 'manufacturing', 'business', 'operation', 'experience', 'experience', 'leadingmanaging', 'contract', 'manufacturer', 'original', 'design', 'manufacturer', 'experience', 'finance', 'analytics', 'cost', 'modeling', 'negotiation', 'experience', 'mbachelor', 'art', 'degree', 'experience', 'procurement', 'supply', 'chain', 'ability', 'establish', 'impactful', 'partnership', 'interpret', 'legal', 'document', 'work', 'legal', 'team', 'complete', 'agreement', 'fluency', 'mandarin', 'familiarity', 'international', 'business', 'custom', 'willingness', 'travel', 'asia', '25', 'time', 'extended', 'period', 'required']"
"Solutions Architect, Healthcare and Life Sciences, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'software', 'engineering', 'field', 'equivalent', 'practical', 'experience', 'experience', 'working', 'cloud', 'computing', 'environment', 'infrastructure', 'storage', 'platform', 'data', 'experience', 'working', 'healthcare', 'life', 'science', 'domain', 'including', 'deploying', 'solution', 'healthcare', 'life', 'science', 'related', 'infrastructure', 'experience', 'writing', 'software', 'one', 'language', 'java', 'python', 'go', 'javascript', 'c', 'similar', 'master', 'degree', 'computer', 'science', 'related', 'engineering', 'field', 'equivalent', 'work', 'experience', '5', 'year', 'experience', 'working', 'variety', 'technology', 'system', 'designing', 'solution', 'developing', 'application', 'healthcare', 'life', 'science', 'environment', 'experience', 'working', 'closely', 'sale', 'marketing', 'team', 'cloud', 'computing', 'related', 'technical', 'field', 'understanding', 'current', 'trend', 'healthcare', 'life', 'science', 'infrastructure', 'including', 'database', 'enterprise', 'integration', 'bus', 'protocol', 'apis', 'format', 'security', 'networking', 'cloudbased', 'delivery', 'model', 'ability', 'communicate', 'complex', 'technical', 'concept', 'approachable', 'way', 'broad', 'audience', 'empowering', 'memorable', 'useful', 'information']"
