,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.82806211,59.87588626,59.95674652,60.04745483,60.23555841,60.38058942,60.48638016,60.64678987,60.80099617,61.01289014,61.16876598,61.04915528,61.38492918,61.87221889,62.14220528,62.09155525,62.12843042,62.43064263,61.97862128,61.08475001,60.96072033,60.94005566,61.11086685,61.13487907,61.23123656,61.23276688,61.36305257,61.45083154,61.47588576,58.96815593,59.22858919
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1420002,13.11999989,13.11299992,13.09500027,13.05500031,12.96700001,12.88899994,12.81599998,12.77499962,12.74600029,12.86800003,12.94400024,13.12199974,13.30099964,13.40699959,13.26299953,13.07299995,12.98900032,12.89900017,12.92199993,13.26900005,13.58399963,14.40100002,15.23700047,16.10400009,17.00900078,17.95000076,18.25300026,18.53300095,13.45899963,12.01299953
Africa Western and Central,AFW,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.40980351,57.22773954,57.1882041,57.1595563,57.14673612,57.06968999,57.00192458,56.92404399,56.74833291,56.68529319,56.61907066,56.57344315,56.48530607,56.40934533,56.29736917,56.2037299,56.12181384,55.87150563,55.60272951,55.33132229,55.25275377,53.95281902,52.82924369,52.14149794,51.98854337,51.17375848,50.74186527,50.7795432,50.84433879,49.33930727,49.45733398
Angola,AGO,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.66200256,72.66799927,72.67299652,72.74700165,72.82099915,72.84700012,72.88300323,72.93699646,73.0019989,73.07900238,73.1190033,73.18000031,73.22599792,73.29399872,73.35500336,73.3730011,73.40299988,73.43000031,73.45500183,67.34500122,69.06800079,69.06099701,69.04000092,69.03900146,69.03900146,69.03600311,69.06199646,69.08699799,69.13400269,67.15899658,67.22799683
Albania,ALB,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.10599899,40.53499985,42.05400085,43.63100052,45.15100098,44.97700119,44.33100128,41.44200134,40.1590004,40.55599976,39.7820015,39.84199905,39.80099869,39.66899872,39.3370018,39.02999878,38.42200089,39.16899872,38.63800049,39.30699921,45.23500061,43.17699814,37.77500153,36.97399902,38.87200165,42.48899841,43.3219986,45.11199951,46.75400162,43.22999954,44.68000031
Andorra,AND,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34363402,16.62667943,16.2927341,16.50847711,16.42227358,16.72990926,16.58979148,16.53265122,16.95125038,16.70836436,16.65763327,16.00654757,16.23102002,16.44167635,16.6283029,17.01256987,17.66082482,17.38973675,17.14904395,17.13560036,16.93344128,16.96134756,17.19534929,17.21096382,17.24257979,17.41014195,16.82854373,16.22589374,16.04670083,15.32003125,15.22061788
United Arab Emirates,ARE,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01199913,29.51099968,30.1779995,30.37299919,30.54100037,31.1060009,31.66799927,32.20700073,32.75799942,33.31299973,33.63899994,33.97999954,34.28499985,34.46099854,34.49700165,35.34400177,36.15999985,37.11199951,38.15299988,39.41199875,40.81600189,42.28300095,43.83100128,45.3769989,46.87900162,48.25299835,48.25299835,45.72900009,46.04100037,42.28900146,42.76100159
Argentina,ARG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.66899872,44.30099869,42.61299896,42.68399811,38.11100006,40.22000122,42,44.27700043,43.08800125,42.25699997,41.08300018,38.56399918,40.23500061,42.22399902,42.59600067,43.73099899,43.94599915,43.5530014,44.13999939,43.47600174,44.04199982,43.97999954,43.76800156,43.61399841,43.56800079,43.34999847,43.31200027,44.11700058,44.80099869,40.86999893,43.36999893
