,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94225825,73.78471365,73.62356472,73.47585572,73.33947366,73.26389029,73.1607995,73.12754558,73.06154794,73.01841837,72.96211186,72.92144754,72.99563093,73.30272021,73.4241323,73.44763494,73.44190796,73.48495198,73.1157,72.48552983,72.422465,72.4694655,72.53487966,72.49847583,72.51701442,72.37495358,72.18535331,71.97377272,71.6509195,69.60908015,69.8313975
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.38999939,68.98600006,68.79599762,68.56700134,68.02799988,68.22000122,68.46099854,68.58300018,68.69799805,68.78700256,68.73699951,68.31800079,68.32099915,68.38400269,68.20500183,68.38400269,68.36100006,68.64600372,68.57299805,68.57099915,68.63800049,68.22200012,67.61199951,66.91300201,66.1780014,65.43900299,64.68000031,64.56300354,64.38200378,58.68899918,58.49499893
Africa Western and Central,AFW,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.34032741,69.24783074,69.11672896,68.95981722,68.7811034,68.66788199,68.5311505,68.3575165,68.03965647,67.79512375,67.76525045,67.73923392,67.67927701,67.6411311,67.53484397,67.55044455,67.43374284,67.26000025,67.05665738,66.8397833,66.67487019,65.22359071,63.94447202,63.7793789,63.76145611,63.23107165,62.90120399,62.70557496,62.52161245,61.01569749,61.31973538
Angola,AGO,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.58000183,75.59700012,75.56099701,75.58200073,75.5510025,75.56199646,75.52700043,75.46700287,75.38200378,75.28800201,75.28399658,75.26899719,75.1969986,75.16000366,75.1230011,75.17099762,75.21800232,75.24700165,75.25299835,72.69400024,74.28299713,74.33599854,74.33499908,74.31900024,74.26399994,74.22000122,74.16200256,74.06300354,73.94300079,72.5719986,72.77799988
Albania,ALB,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.37999725,51.45999908,54.96300125,58.0320015,62.71300125,62.30099869,60.65999985,58.15499878,56.67499924,57.48600006,57.75400162,58.00999832,57.44300079,56.65200043,55.61700058,54.51300049,52.92900085,53.44900131,56.45299911,55.64799881,58.52799988,55.54800034,50.38199997,50.49599838,52.9280014,54.3429985,56.84700012,58.76100159,59.89500046,56.80500031,58.38999939
Andorra,AND,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.067441,66.29830821,66.31413458,66.34604728,65.80743148,66.08259423,66.31082229,65.94339705,66.03369804,65.21941241,64.39177366,63.78369006,63.89212562,64.90002968,65.18517635,65.93794145,65.96527912,66.31238984,66.78312756,67.58279882,66.50165227,66.57912059,66.57742684,66.01682542,65.56721066,65.56069908,64.95003344,65.19758827,65.79307978,63.23882013,63.50023981
United Arab Emirates,ARE,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.26100159,90.3730011,90.56600189,90.5759964,90.54699707,90.45899963,90.35500336,90.14600372,89.98899841,89.85700226,89.8239975,89.88500214,89.86399841,89.53399658,88.91400146,88.26999664,87.61100006,87.24099731,87.09600067,87.33399963,87.83699799,88.44999695,89.16100311,89.8259964,90.36699677,90.66899872,90.21099854,89.27100372,89.34500122,85.16200256,85.90799713
Argentina,ARG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.89600372,70.51100159,69.05899811,67.8010025,62.86299896,63.58800125,66.00099945,66.93499756,65.4489975,64.73100281,61.85499954,59.18799973,64.22200012,65.98999786,67.38200378,68.51599884,69.04299927,68.93800354,67.93099976,68.6969986,69.625,69.06700134,68.66100311,67.59799957,66.92199707,66.01799774,65.35399628,64.90100098,64.67900085,59.02199936,65.07800293
